product-id,highlight
P455366,Clean at Sephora
P455366,Good for: Anti-Aging
P455366,Retinol
P455366,Cruelty-Free
P433887,Vegan
P433887,Hyaluronic Acid
P433887,Clean + Planet Positive
P433887,Fragrance Free
P433887,Good for: Dryness
P433887,"Best for Dry, Combo, Normal Skin"
P428095,Vegan
P428095,Recyclable Packaging
P428095,Good for: Dullness/Uneven Texture
P428095,Lactic Acid
P428095,Good for: Pores
P428095,Good for: Dark spots
P472468,Hyaluronic Acid
P472468,Good for: Pores
P472468,Clean + Planet Positive
P472468,Hydrating
P472468,Good for: Dryness
P472468,Cruelty-Free
P442761,Good for: Dullness/Uneven Texture
P442761,Good for: Dark Circles
P442761,Good for: Redness
P442761,Vitamin C
P442761,Cruelty-Free
P422022,Good for: Dullness/Uneven Texture
P422022,Vitamin C
P422022,Clean at Sephora
P422022,Salicylic Acid
P422022,Without Parabens
P422022,Good for: Dark spots
P232915,"Best for Oily, Combo, Normal Skin"
P232915,Good for: Dullness/Uneven Texture
P232915,Good for: Pores
P232915,AHA/Glycolic Acid
P232915,Salicylic Acid
P232915,Cruelty-Free
P471546,Good for: Redness
P471546,Community Favorite
P471546,Matte Finish
P471546,"Best for Oily, Combo, Normal Skin"
P471546,SPF
P471546,Niacinamide
P429242,Without Phthalates
P429242,allure 2021 Best of Beauty Award Winner
P429242,Without Parabens
P429242,SPF
P469506,Good for: Dullness/Uneven Texture
P469506,Vitamin C
P469506,Good for: Anti-Aging
P469506,Fragrance Free
P469506,Without Silicones
P469506,Good for: Dark spots
P455339,Vegan
P455339,Good for: Dullness/Uneven Texture
P455339,Lactic Acid
P455339,Good for: Anti-Aging
P455339,Without Parabens
P455339,Without Sulfates SLS & SLES
P411539,Good for: Redness
P411539,Good for: Dryness
P411539,"Best for Dry, Combo, Normal Skin"
P415701,"Best for Dry, Combo, Normal Skin"
P415701,Good for: Dryness
P415701,Hyaluronic Acid
P415701,Alcohol Free
P415701,Oil Free
P415701,Fragrance Free
P455236,Hydrating
P455236,Natural Finish
P455236,Clean + Planet Positive
P482264,Good for: Dullness/Uneven Texture
P482264,Good for: Pores
P482264,Clean at Sephora
P482264,Fragrance Free
P482264,Salicylic Acid
P482264,Black Owned at Sephora
P423259,Good for: Redness
P423259,Good for: Dryness
P391799,Hyaluronic Acid
P391799,Good for: Loss of firmness
P391799,Clean at Sephora
P391799,Without Parabens
P391799,"Best for Dry, Combo, Normal Skin"
P391799,Without Sulfates SLS & SLES
P431181,Vegan
P431181,Refill Available
P431181,Hydrating
P431181,Clean at Sephora
P431181,Cruelty-Free
P442871,Community Favorite
