product-id,highlight
P473708,Vegan
P473708,High Shine Finish
P473708,Plumping
P473708,Without Phthalates
P473708,Without Parabens
P427415,Vegan
P427415,Without Silicones
P427415,Alcohol Free
P427415,Gluten Free
P481114,Vegan
P481114,Stick Formula
P481114,High Shine Finish
P481114,Plumping
P481114,Hydrating
P481114,Cruelty-Free
P9889,Vegan
P9889,Natural Finish
P9889,Good for: Pores
P9889,Oil Free
P9889,Without Parabens
P9889,Cruelty-Free
P433523,Shimmer Finish
P433523,Without Parabens
P433523,Vegan
P450887,Matte Finish
P450887,Shimmer Finish
P450887,Metallic Finish
P269122,Good for: Dullness/Uneven Texture
P269122,Clean at Sephora
P269122,Good for: Anti-Aging
P269122,AHA/Glycolic Acid
P269122,Good for: Acne/Blemishes
P269122,Salicylic Acid
P255506,allure 2020 Best of Beauty Award Winner
P255506,Floral Scent
P427647,Refill Available
P427647,Customizable
P55978864,Vegan
P55978864,Community Favorite
P55978864,Matte Finish
P55978864,Long-wearing
P388225,Cruelty-Free
P388225,Pressed Powder Formula
P388225,Matte Finish
P388225,Without Parabens
P404827,Natural Finish
P404827,Good for: Volume
P404827,Stick Formula
P404827,Community Favorite
P456218,Vegan
P456218,Radiant Finish
P456218,allure 2020 Best of Beauty Award Winner
P456218,Clean at Sephora
P456218,SPF
P431750,allure 2019: Clean Beauty Winner
P431750,Community Favorite
P431750,Clean at Sephora
P431750,Long-wearing
P431750,Lengthening
P431750,Cruelty-Free
P393411,Cream Formula
P393411,Matte Finish
P393411,Long-wearing
P393411,Full Coverage
P393356,Light Coverage
P393356,Vegan
P393356,Natural Finish
P393356,Cream Formula
P393356,Community Favorite
P393356,Hydrating
P482750,Vegan
P482750,Plumping
P482750,Hydrating
P482750,Without Parabens
P482750,Gluten Free
P482750,Cruelty-Free
P422568,Pressed Powder Formula
P422568,Without Mineral Oil
P422568,Without Formaldehyde-Releasing Agents
P422568,Without Formaldehydes
P422568,Without Parabens
P422568,Without Sulfates SLS & SLES
P404797,Vegan
P404797,Cream Formula
P404797,Clean at Sephora
P404797,Matte Finish
P404797,Without Parabens
P404797,Cruelty-Free
P434101,Vegan
P434101,Cream Formula
P434101,Shimmer Finish
P434101,Long-wearing
P434101,Without Parabens
P434101,Cruelty-Free
P458747,Vegan
P458747,Pressed Powder Formula
P458747,Natural Finish
P458747,Cream Formula
P458747,Hydrating
P458747,Long-wearing
P210575,Oil Free
P210575,Natural Finish
P210575,SPF
P210575,Good for: Pores
P210575,Community Favorite
P210575,Cruelty-Free
P439926,Good for: Dullness/Uneven Texture
P439926,Good for: Loss of firmness
P439926,Clean at Sephora
P439926,Retinol
P439926,Good for: Anti-Aging
P439926,Good for: Dark spots
P392516,Community Favorite
P392516,Satin Finish
P392516,Long-wearing
P392516,Curling
P378111,High Shine Finish
P378111,Liquid Formula
P378111,Plumping
P378111,Hydrating
P461148,Long-wearing
P461148,Alcohol Free
P461148,Oil Free
P461148,Without Parabens
P461148,Vegan
P411540,Natural Finish
P411540,Good for: Redness
P411540,Medium Coverage
P411540,SPF
P431180,Natural Finish
P431180,Good for: Dullness/Uneven Texture
P431180,Vitamin C
P431180,Clean at Sephora
P431180,Customizable
P431180,Good for: Dark spots
P399623,Good for: Dullness/Uneven Texture
P399623,Clean at Sephora
P399623,Good for: Dryness
P69304,Vegan
P69304,Hyaluronic Acid
P69304,Community Favorite
P69304,Long-wearing
P69304,Strong Hold
P422455,Vegan
P422455,allure 2020 Best of Beauty Award Winner
P422455,Natural Finish
P422455,Community Favorite
P422455,Long-wearing
P422455,Waterproof
P431852,Shimmer Finish
P431852,Hydrating
P431852,Community Favorite
P431852,Vegan
P431852,Black Owned at Sephora
P302923,Light Coverage
P302923,Radiant Finish
P302923,Cream Formula
P302923,Community Favorite
P302923,Hydrating
P302923,SPF
P468685,Vegan
P468685,Natural Finish
P468685,Pressed Powder Formula
P468685,Good for: Pores
P468685,Clean + Planet Positive
P468685,"Best for Oily, Combo, Normal Skin"
P412090,Layerable Scent
P412090,All Hair Types
P412090,Good for: Frizz
P412090,Good for: Dryness
P412090,Increases Shine
P442840,Vegan
P442840,Hyaluronic Acid
P442840,allure 2019 Best of Beauty Award Winner
P442840,Clean + Planet Positive
P442840,Fragrance Free
P442840,Gluten Free
P472327,Vegan
P472327,Stick Formula
P472327,Cream Formula
P472327,Matte Finish
P390722,Loose Powder Formula
P390722,Radiant Finish
P390722,Good for: Dullness/Uneven Texture
P390722,Good for: Pores
P390722,Matte Finish
P453225,Clean at Sephora
P453225,Hydrating
P453225,Plumping
P453225,Good for: Dryness
P453225,Community Favorite
P421996,Refill Available
P421996,Clean at Sephora
P421996,Fragrance Free
P421996,Good for: Dryness
P421996,Without Parabens
P421996,"Best for Dry, Combo, Normal Skin"
P444989,Good for: Dullness/Uneven Texture
P444989,Clean at Sephora
P444989,Fragrance Free
P444989,AHA/Glycolic Acid
P444989,"Best for Oily, Combo, Normal Skin"
P444989,Cruelty-Free
P443842,Good for: Dullness/Uneven Texture
P443842,Community Favorite
P443842,Clean at Sephora
P443842,allure 2021 Best of Beauty Award Winner
P443842,Good for: Anti-Aging
P443842,Retinol
P425318,Warm &Spicy Scent
P425318,Good for: Loss of firmness
P425318,Community Favorite
P425318,Good for: Dryness
P425318,Without Parabens
P425318,Cruelty-Free
P469825,Vegan
P469825,Natural Finish
P469825,Clean + Planet Positive
P469825,Fragrance Free
P469825,Without Silicones
P419506,Liquid Formula
P419506,Shimmer Finish
P419506,Natural Finish
P441880,Matte Finish
P441880,Cream Formula
P441880,Long-wearing
P427418,Vegan
P427418,Good for: Dullness/Uneven Texture
P427418,Retinol
P427418,Good for: Anti-Aging
P427418,Without Parabens
P427418,Without Sulfates SLS & SLES
P468353,allure 2020 Best of Beauty Award Winner
P468353,Cream Formula
P468353,Community Favorite
P468353,Waterproof
P468353,Black Owned at Sephora
P468353,Cruelty-Free
P413458,Vegan
P413458,Refill Available
P413458,Pressed Powder Formula
P413458,Community Favorite
P413458,Without Parabens
P413458,Cruelty-Free
P297524,Vegan
P297524,Good for: Pores
P297524,Clean at Sephora
P297524,"Best for Oily, Combo, Normal Skin"
P465757,Vegan
P465757,High Shine Finish
P109936,Light Coverage
P109936,Natural Finish
P109936,Liquid Formula
P109936,Hydrating
P109936,Long-wearing
P218431,Light Coverage
P218431,Radiant Finish
P218431,Liquid Formula
P218431,Hydrating
P411848,Natural Finish
P411848,Hydrating
P411848,Clean at Sephora
P411848,Fragrance Free
P411848,Gluten Free
P461537,Clean at Sephora
P461537,Hydrating
P461537,Hyaluronic Acid
P461537,Good for: Dryness
P461537,"Best for Dry, Combo, Normal Skin"
P427411,Vegan
P427411,Community Favorite
P427411,Oil Free
P427411,Alcohol Free
P427411,Gluten Free
P427412,Vegan
P427412,Without Silicones
P427412,Alcohol Free
P427412,Gluten Free
P378145,Stick Formula
P378145,allure 2022 Best of Beauty Award Winner
P378145,Shimmer Finish
P378145,Long-wearing
P378145,Waterproof
P379832,"Best for Dry, Combo, Normal Skin"
P379832,"Best for Oily, Combo, Normal Skin"
P379832,Vegan
P379832,Without Sulfates SLS & SLES
P379832,Without Parabens
P379832,Without Phthalates
P69300,Natural Finish
P69300,Pressed Powder Formula
P69300,Vegan
P69300,Fragrance Free
P69300,Community Favorite
P395615,Vegan
P395615,Good for: Dullness/Uneven Texture
P395615,Clean + Planet Positive
P395615,Good for: Pores
P395615,Good for: Acne/Blemishes
P395615,"Best for Oily, Combo, Normal Skin"
P388628,Good for: Damage
P388628,Vegan
P388628,Community Favorite
P388628,Clean + Planet Positive
P388628,All Hair Types
P388628,Increases Shine
P126301,Vegan
P126301,Community Favorite
P126301,Fragrance Free
P126301,allure 2021: Clean Beauty Winner
P126301,"Best for Dry, Combo, Normal Skin"
P126301,Without Sulfates SLS & SLES
P428661,Clean at Sephora
P428661,Natural Finish
P428661,Good for: Pores
P428661,"Best for Dry, Combo, Normal Skin"
P428661,Community Favorite
P426340,Good for: Dullness/Uneven Texture
P426340,Good for: Pores
P426340,Clean at Sephora
P427385,Liquid Formula
P427385,Medium Coverage
P427385,Shimmer Finish
P286513,Natural Finish
P286513,Clean at Sephora
P286513,Long-wearing
P286513,Waterproof
P286513,Medium Coverage
P439061,Vegan
P439061,Good for: Dullness/Uneven Texture
P439061,AHA/Glycolic Acid
P439061,Without Parabens
P439061,Good for: Dark spots
P439061,Cruelty-Free
P416057,Full Coverage
P416057,Satin Finish
P416057,Long-wearing
P416057,Without Parabens
P416057,Without Mineral Oil
P13046537,Radiant Finish
P13046537,Hydrating
P13046537,Without Parabens
P88779810,Vegan
P88779810,Community Favorite
P88779810,Matte Finish
P469503,Good for: Dullness/Uneven Texture
P469503,Good for: Pores
P469503,Fragrance Free
P469503,Salicylic Acid
P469503,Good for: Acne/Blemishes
P469503,"Best for Oily, Combo, Normal Skin"
P468341,Natural Finish
P468341,Vegan
P468341,Oil Free
P468341,"Best for Oily, Combo, Normal Skin"
P434548,Good for: Dullness/Uneven Texture
P434548,Clean + Planet Positive
P434548,Good for: Dark Circles
P434548,AHA/Glycolic Acid
P434548,Cruelty-Free
P447791,Good for: Dullness/Uneven Texture
P447791,Good for: Loss of firmness
P447791,Clean + Planet Positive
P447791,Good for: Dark Circles
P447791,Hydrating
P447791,Retinol
P502185,Natural Finish
P502185,Liquid Formula
P502185,Clean at Sephora
P502185,Long-wearing
P502185,Medium Coverage
P502185,Hypoallergenic
P393718,Good for: Anti-Aging
P393718,Good for: Pores
P393718,Good for: Dullness/Uneven Texture
P393718,Retinol
P393718,Vegan
P393718,Cruelty-Free
P443840,Community Favorite
P443840,Clean at Sephora
P443840,Good for: Anti-Aging
P443840,Good for: Dryness
P443840,Cruelty-Free
P405601,Hydrating
P405601,Vegan
P405601,Without Parabens
P405601,Without Mineral Oil
P405601,Without Phthalates
P500636,Vegan
P500636,Hydrating
P500636,Long-wearing
P500636,Matte Finish
P500636,Cruelty-Free
P454042,Vegan
P454042,Natural Finish
P454042,Liquid Formula
P454042,Good for: Dark Circles
P454042,Full Coverage
P454042,Cruelty-Free
P448702,Vegan
P448702,Natural Finish
P448702,Community Favorite
P448702,Long-wearing
P448702,Medium Coverage
P461483,Good for: Damage
P461483,Clean at Sephora
P461483,Good for: Volume
P461483,Good for: Hair Thinning
P461483,All Hair Types
P468691,Hydrating
P468691,Vegan
P468691,Cruelty-Free
P468691,Fragrance Free
P468691,High Shine Finish
P468691,Clean at Sephora
P398009,Natural Finish
P398009,Good for: Redness
P398009,Good for: Dark Circles
P398009,Clean at Sephora
P398009,Medium Coverage
P398009,"Best for Oily, Combo, Normal Skin"
P270594,Hyaluronic Acid
P270594,Plumping
P270594,Vitamin C
P270594,Hydrating
P270594,Without Parabens
P270594,Gluten Free
P39784685,Long-wearing
P39784685,Matte Finish
P382309,Without Parabens
P382309,Radiant Finish
P382309,Cruelty-Free
P382309,Vegan
P403322,Vegan
P403322,High Shine Finish
P403322,Shimmer Finish
P403322,Hydrating
P403322,Without Parabens
P387589,Vegan
P387589,Radiant Finish
P387589,Liquid Formula
P387589,Community Favorite
P387589,Hydrating
P387589,"Best for Dry, Combo, Normal Skin"
P443845,allure 2022 Best of Beauty Award Winner
P443845,Hyaluronic Acid
P443845,Plumping
P443845,Good for: Dark Circles
P443845,Clean at Sephora
P443845,Hydrating
P416563,Vegan
P416563,Good for: Loss of firmness
P416563,Vitamin C
P416563,Clean + Planet Positive
P416563,Good for: Dryness
P416563,"Best for Dry, Combo, Normal Skin"
P454348,Natural Finish
P454348,Hydrating
P454348,Long-wearing
P454348,Full Coverage
