product-id,ingredient,order
P415777,Sorbitan Isostearate,26
P415777,Amylopectin,27
P415777,Niacinamide,28
P415777,Phytosphingosine,29
P415777,Lactic Acid,30
P415777,Propanediol,31
P415777,Citric Acid,32
P415777,Titanium Dioxide,33
P415777,Trisodium Ethylenediamine Disuccinate,34
P415777,Polysorbate 60,35
P415777,Caprylyl Glycol,36
P415777,Chlorphenesin,37
P415777,Phenoxyethanol,38
P409800,Water,0
P409800,Caprylic/Capric Triglyceride,1
P409800,Glycerin,2
P409800,PEG-40 Hydrogenated Castor Oil,3
P409800,Phenoxyethanol,4
P409800,Benzyl Alcohol,5
P409800,Ethylhexylglycerin,6
P409800,Fragrance,7
P409800,Glyceryl Stearate,8
P409800,Lauryl Glucoside,9
P409800,Sodium Lauroyl Lactylate,10
P409800,Cetearyl Alcohol,11
P409800,Citrullus Lanatus (Watermelon) Fruit Extract,12
P409800,Sodium Stearoyl Lactylate,13
